text
"Bạn làm việc nhanh thật, chắc là do làm ẩu nên mới nhanh vậy."
"Cái cách bạn giải thích nghe cũng có lý... nếu tôi là người không biết gì."
"Đúng là gu thời trang của bạn lạ thật, không phải ai cũng dám mặc như thế."
"Bạn thông minh lắm, cái đề bài dễ thế mà cũng làm sai được."
"Tôi rất ngưỡng mộ sự tự tin của bạn, dù bạn không có cơ sở gì cả."
"Cái này nhìn cũng hay hay đấy, nhưng dùng thì thôi khỏi bàn."
"Bạn nói chuyện có duyên quá, bảo sao ai nghe xong cũng bỏ đi."
"Chắc là do bạn giỏi quá nên người thường như chúng tôi không hiểu được."
"Cảm ơn vì đã góp ý, lần sau bạn giữ góp ý đó cho riêng mình nhé."
"Bạn là chuyên gia trong lĩnh vực này à? Thấy bạn nói nhiều nhưng chưa thấy làm gì."
"Cái điện thoại này dùng tốt lắm, mỗi tội pin sụt nhanh hơn cả cách bạn nói dối."
"Bạn trang điểm đẹp thật, nhìn qua cứ tưởng là người lạ."
"Đúng là ý tưởng táo bạo, chỉ có điều là nó không thực tế."
"Bạn giải quyết vấn đề nhanh nhỉ, làm xong rồi mới phát hiện ra sai ngay từ đầu."
"Thấy bạn làm chăm chỉ quá, tiếc là làm sai mục tiêu hết rồi."
"Đúng là người có tầm nhìn, nhìn đâu cũng thấy vấn đề."
"Bạn giải thích nhiệt tình ghê, dù chẳng ai hỏi."
"Cái món này ngon thật, chỉ là ăn xong hơi đau bụng chút thôi."
"Bạn có phong cách riêng đấy, người ta gọi là phong cách 'không giống ai'."
"Đúng là người biết lắng nghe, nghe xong rồi để đấy."
"Cái dự án này tiềm năng ghê, tiếc là bị hủy mất rồi."
"Bạn tự tin vào kiến thức của mình quá nhỉ, cứ như là đọc sách rồi quên ngay."
"Đúng là nhà thiết kế tài ba, phối màu này chắc chỉ mình bạn hiểu."
"Bạn giúp đỡ nhiệt tình quá, làm tôi không biết từ chối thế nào."
"Cách bạn cười nhìn cũng duyên, nếu đừng cười kiểu đó."
"Bạn có khiếu hài hước lắm, mỗi tội không ai thấy hài."
"Cái này dùng bền đấy, nếu bạn đừng làm rơi nó."
"Đúng là người làm việc có kế hoạch, kế hoạch là làm xong mới tính."
"Bạn làm việc kỹ quá, kỹ đến mức làm xong không ai dùng được."
"Đúng là người biết chọn lọc, cái gì sai nhất thì bạn chọn."
"Bạn nói gì cũng đúng, chỉ là không đúng lúc."
"Phong cách của bạn lạ thật, chắc là học từ phim hành động."
"Bạn giỏi thật đấy, việc dễ thế mà cũng cần hướng dẫn."
"Thấy bạn nỗ lực quá, tiếc là nỗ lực nhầm chỗ."
"Đúng là người của công chúng, công chúng không ai biết bạn."
"Bạn chia sẻ kiến thức hay ghê, ước gì bạn biết điều đó trước khi nói."
"Lối đi này của bạn sáng tạo thật, sáng tạo đến mức đi vào ngõ cụt."
"Bạn làm gì cũng nhanh nhẹn nhỉ, nhanh đến mức không kịp kiểm tra."
"Đúng là gu âm nhạc của bạn chất thật, người thường không thẩm thấu được."
"Bạn sống đơn giản quá nhỉ, đơn giản đến mức hời hợt."
"Thấy bạn quan tâm đến mọi người quá, quan tâm đến mức can thiệp vào chuyện riêng."
"Đúng là người có tư duy phản biện, cái gì bạn cũng phản đối."
"Bạn làm việc có trách nhiệm ghê, trách nhiệm đổ lỗi cho người khác."
"Cái xe này chạy êm thật, êm đến mức không nổ máy được."
"Bạn tư vấn nhiệt tình quá, nhiệt tình đến mức làm rối cả vấn đề."
"Đúng là người có tài, tài làm hỏng việc."
"Bạn góp ý chân thành quá, chân thành đến mức làm người khác khó chịu."
"Cái này chắc có nhiều tính năng lắm, tiếc là chưa ai dùng được."
"Bạn làm việc cẩn thận nhỉ, cẩn thận đến mức không làm gì cả."
"Đúng là người có tầm ảnh hưởng, ảnh hưởng đến tâm trạng người khác."
